Name,Category,Subcategory,URL,Description,Image
Emma's Journey,Story,Writing,https://emmasjourney.soe.ucsc.edu/,Interactive narrative about the environment,http://tomsmith.webfactional.com/notes/Emma_s_Journey_22D72FAA.png
Citizens on the Mountaintop,Story,Writing,http://textadventures.co.uk/games/view/bf2qqjpljuqqpbf6ga8kfg/citizens-on-the-mountaintop-the-story-of-the-civil-war-amendments,"A historical satire of the corporate personhood movement in America, written in Twine.",http://tomsmith.webfactional.com/notes/Citizens_on_The_Mountaintop__The_Story_of_the_Civil_War_Amendments__Gettysburg__Pennsylvania__1863_22DE187B.png
Ela-TV,Story,Writing,https://blog.matthias-andrasch.de/2015/ela-twine-textadventure-with-html5-video/,"Brilliant, video heavy interactive narrative created with Twine. The story of ELA takes place in a fictive scenario in near-future. In this future the so-called ALGOs are responsible for the administration of cities. ",http://tomsmith.webfactional.com/notes/ELA_🔊_22DE1A3F.png
HackPact,Audio,Coding,https://stc.github.io/HackPact/,Lots of sonification examples.,http://tomsmith.webfactional.com/notes/Sonification_Studies_22F1ED4A.png
The Ransom Center's movie poster collection ,Image,History,https://hrc.contentdm.oclc.org/digital/collection/p15878coll84,Huge archive of movie posters,http://tomsmith.webfactional.com/notes/Movie_Posters_Collection_-_Harry_Ransom_Center_Digital_Collections_22F82DB0.png
Story Maps,Maps,Story,http://datavizforall.github.io/leaflet-storymaps-with-google-sheets/index.html,"An interesing map project, with instructions of how to build your own.",http://tomsmith.webfactional.com/notes/My_Story_Map_22FC51A0.png
Gif The Dub,Audio,Movie,https://johnjohnston.neocities.org/,A live montage of memes and gifs and music,http://tomsmith.webfactional.com/notes/Gif_the_Dub_🔊_and_Collab_txt_23096367.png
Mapmaker David,Maps,Visualisation,https://www.patreon.com/mapmakerdavid,Including the 100 largest islands. ,http://tomsmith.webfactional.com/notes/Twitter_230987C6.png
Databae of Sonification Art,Sonification,Audio,https://sonificationart.wordpress.com/,People turning data into sound,http://tomsmith.webfactional.com/notes/Sonification_Art_–_A_blog_on_sonification_in_an_artistic_context_230D6A69.png
Ishkur’s Guide to Electronic Music,Visualisation,Audio,http://music.ishkur.com/#,"Large visualisation. Zoom in and listen to each genre, from Musique Concrete to Glitch Hop",http://tomsmith.webfactional.com/notes/Ishkur_s_Guide_to_Electronic_Music_2311C957.png
The Cool Club,Inspiration,Toy,https://fwa.thecoolclub.co/,"A massive collection of ""cool sites"" displayed in a cool way. The history of the internet kinda (so far).",http://tomsmith.webfactional.com/notes/The_Cool_Club_X_FWA_-_54_Coolest_Websites_in_History_235DD78B.png
“Plotto”: Generating Truly Offensive Stories Since 1928,Story,Visualisation,https://medium.com/@lynn_72328/plotto-generating-truly-offensive-stories-since-1928-26b587f83c07,"Incredible article covering storytelling, gender and visualisatuon",http://tomsmith.webfactional.com/notes/“Plotto”__Generating_Truly_Offensive_Stories_Since_1928__23801691.png
Aerobrowser,Space,3D,https://areobrowser.com,Explore mars data as 3D models,http://tomsmith.webfactional.com/notes/AreoBrowser_2381733E.png
The Unknown,Writing,Story,http://unknownhypertext.com/,"A hypertextual novel, about creating a hypertextual novel",http://tomsmith.webfactional.com/notes/The_Unknown__a_Hypertext_Novel_and_Digital_Creativity_Tools_and_Inspiration_-_Google_Sheets_2381755C.png
Rory's Storycubes,Writing,Inspiration,https://www.storycubes.com/en/,Physical prompts to get that story started,http://tomsmith.webfactional.com/notes/Story_Cubes_23817BFB.png
Limeric Night,Writing,Story,https://pace212.itch.io/limerick-night,Limerick-based interactive narrative horror puzzle,http://tomsmith.webfactional.com/notes/Limerick_Night_by_Pace_23818371.png
IFDB,Story,Writing,https://ifdb.tads.org/search?sortby=ratu&newSortBy.x=0&newSortBy.y=0&searchfor=&browse=1,"Database of interactive fiction (IF), lots available for free or as apps.",http://tomsmith.webfactional.com/notes/Browse_Games_and_Digital_Creativity_Tools_and_Inspiration_-_Google_Sheets_2381A7C1.png
Wikipedia Random,Writing,Prompt,https://en.wikipedia.org/wiki/Wikipedia:Random,"Click on the Special:Random link to get real items to use in your writing. I got ""Swarfega"" and a Serbian footballer. ",http://tomsmith.webfactional.com/notes/Keep_Alive_and_Wikipedia_Random_-_Wikipedia_2389A297.png
Sound Effect Story,Audio,Story,https://soundcloud.com/iliana-loaiza/sound-effects-story,Simple but wonderful example of telling a story using only sound effects from Freesound.org,http://tomsmith.webfactional.com/notes/Sound_Effects_Story_by_Monica_Geller___Free_Listening_on_SoundCloud_23A8EAA4.png
Character Location,Story,Maps,https://www.ancestry.co.uk/name-origin?surname=hunter,Developing a character? Hack the URL to find out where your character is from,http://tomsmith.webfactional.com/notes/Hunter_Name_Meaning___Hunter_Family_History_at_Ancestry_co_uk®_23A8EBA8.png
Posteritati,Image,Story,https://posteritati.com/,Amazing collection of film posters,http://tomsmith.webfactional.com/notes/Posteritati_Movie_Poster_Gallery___New_York_23CC76C7.png
The GPIB Russian Electronic Library,Image,Story,http://elib.shpl.ru/ru/indexes/values/10040?page=2,A collection of Russian Futurist books.,http://tomsmith.webfactional.com/notes/GPIB___Pointers___Collections___Russian_futuristic_book_23CC77D6.png
The Advertising Archives,Image,Story,https://www.advertisingarchives.co.uk/en/category/show_list_page.html,,http://tomsmith.webfactional.com/notes/Advertising_Archives_-_Gallery_Collections_23CF1773.png
HRC Academic Poster Winners,Image,Story,https://www.york.ac.uk/hrc/postgraduate/opportunities/poster-competition/poster-competition-winners/,The best from York's Humanities Research Centre,http://tomsmith.webfactional.com/notes/Poster_competition_winners_-_Humanities_Research_Centre__The_University_of_York_23CF191C.png
Zine Idea,Zine,Image,https://www.instantprint.co.uk/umbraco-media/2851/read-all-about-it-abduzeedo.jpg,"Interesting idea for a zine. Also, nice use of black and white and ONE colour",https://www.instantprint.co.uk/umbraco-media/2851/read-all-about-it-abduzeedo.jpg
Best Thunkable Apps 2019,Coding,Editing,https://blog.thunkable.com/the-19-best-thunkable-apps-of-2019-ccf65c79e6e3,"Nice list of the sorts of apps you can make with the block-coding (like Scratch) tool, Thunkable.",http://tomsmith.webfactional.com/notes/The_19_Best_Thunkable_Apps_of_2019_-_Thunkable_Thoughts_-_Anyone_Can_Build_a_Mobile_App_Without_Coding_23D86336.png
Typographic Posters,Image,Writing,https://www.typographicposters.com/,Wonderful collection of images made from text,http://tomsmith.webfactional.com/notes/typo_graphic_posters_23D89AA6.png
The Design Kids,Image,Inspiration,https://thedesignkids.org/interviews,Design and Arts news and interviews,http://tomsmith.webfactional.com/notes/The_Design_Kids_23D8B829.png
WebXR,VR,Inspiration,https://mixedreality.mozilla.org/hello-webxr/,Example of web-based VR. Use with Google Cardboard,http://tomsmith.webfactional.com/notes/Hello_WebXR__-_Mozilla_Mixed_Reality_23DB0B33.png
