Name,Category,Subcategory,URL,Description,Image,Ability,My Ranking
Clipchamp,Video,Editing,https://app.clipchamp.com/editor,Quite advanced video editing,http://tomsmith.webfactional.com/notes/Clipchamp_Create_2289B230.png,,
Kizoa,Video,Editing,https://www.kizoa.com,Super simple video editing,http://tomsmith.webfactional.com/notes/Movie_Maker_-_Video_Maker_- _Slideshow_Maker___Kizoa_2289B263.png,,
Dabblet,Coding,CSS,http://dabblet.com/,Live hacking of CSS code. Greate for learning.,http://tomsmith.webfactional.com/notes/The_first_commented_line_is_your_dabblet’s_title_✿_dabblet_com_2289B283.png,,
CSSDesk,Coding,CSS,http://www.cssdesk.com/,Live hacking of CSS code. Greate for learning.,http://tomsmith.webfactional.com/notes/CSSDesk_-_Online_CSS_Sandbox_and_TwistedWave_Online_Audio_Editor_2289B2BF.png,,
JSFiddle,Coding,Web,https://jsfiddle.net/,Live hacking of HTML/CSS/Javascript,http://tomsmith.webfactional.com/notes/Create_a_new_fiddle_-_JSFiddle_2289B2DA.png,,
Refiddle,Coding,Regular Expressions,http://refiddle.com/,Learn how Regexs work,http://tomsmith.webfactional.com/notes/New_Fiddle_2289B2F5.png,,
Liveweave,Coding,Web,https://liveweave.com/,"Like JSFiddle, great for learning HTML/CSS/JS",http://tomsmith.webfactional.com/notes/HTML__CSS_and_JavaScript_demo_-_Liveweave_and_TwistedWave_Online_Audio_Editor_2289B318.png,,
ReplIt,Coding,,https://repl.it,Online coding in various languages and environments,http://tomsmith.webfactional.com/notes/Repl_it_-_Repls_2289B35F.png,,
VidCode,Coding,Learn,https://www.vidcode.com,A site to learn how to code,http://tomsmith.webfactional.com/notes/Vidcode_Gallery_2289B38F.png,,
MIT AppInventor,Coding,Visual,http://ai2.appinventor.mit.edu/,"Create mobile apps using ""block-coding""",http://tomsmith.webfactional.com/notes/MIT_App_Inventor_2289B3C6.png,,
Thunkable,Coding,Visual,https://thunkable.com/#/,"Create mobile apps using ""block-coding""",http://tomsmith.webfactional.com/notes/Thunkable_and_TwistedWave_Online_Audio_Editor_2289B405.png,,
Grammarly,Writing,Editing,https://www.grammarly.com,Get help with your grammar skills,http://tomsmith.webfactional.com/notes/Demo_document_2289B440.png,,
